项目,楼栋,材料,数量,单位,单价,采购日期,供应商,总成本
滨江花园,3#楼,混凝土,88.0,立方米,520.0,2026-01-07,宏达混凝土,45760.0
滨江花园,3#楼,砂石,165.0,吨,118.0,2026-01-07,恒源砂石,19470.0
滨江花园,3#楼,防水卷材,1320.0,平方米,32.0,2026-01-07,蓝盾防水,42240.0
滨江花园,3#楼,保温板,990.0,平方米,42.0,2026-01-07,北方保温,41580.0
滨江花园,3#楼,PVC管,660.0,米,18.5,2026-01-07,联塑管材,12210.0
滨江花园,3#楼,电缆,880.0,米,115.0,2026-01-07,远东电缆,101200.0
滨江花园,3#楼,瓷砖,770.0,平方米,86.0,2026-01-07,华美陶瓷,66220.0
滨江花园,3#楼,玻璃,550.0,平方米,138.0,2026-01-07,晶华玻璃,75900.0
滨江花园,1#楼,钢筋,13.12,吨,3980.0,2026-02-05,华北钢材,52217.6
滨江花园,1#楼,水泥,105.0,吨,450.0,2026-02-05,鑫达建材,47250.0
滨江花园,1#楼,混凝土,84.0,立方米,520.0,2026-02-05,宏达混凝土,43680.0
滨江花园,1#楼,砂石,157.5,吨,118.0,2026-02-05,恒源砂石,18585.0
滨江花园,1#楼,防水卷材,1260.0,平方米,32.0,2026-02-05,蓝盾防水,40320.0
滨江花园,1#楼,保温板,945.0,平方米,42.0,2026-02-05,北方保温,39690.0
滨江花园,1#楼,PVC管,630.0,米,18.5,2026-02-05,联塑管材,11655.0
滨江花园,1#楼,电缆,840.0,米,115.0,2026-02-05,远东电缆,96600.0
滨江花园,1#楼,瓷砖,735.0,平方米,86.0,2026-02-05,华美陶瓷,63210.0
滨江花园,1#楼,玻璃,525.0,平方米,138.0,2026-02-05,晶华玻璃,72450.0
滨江花园,2#楼,钢筋,11.81,吨,3980.0,2026-02-06,华北钢材,47003.8
滨江花园,2#楼,水泥,94.5,吨,450.0,2026-02-06,鑫达建材,42525.0
滨江花园,2#楼,混凝土,75.6,立方米,520.0,2026-02-06,宏达混凝土,39312.0
滨江花园,2#楼,砂石,141.75,吨,118.0,2026-02-06,恒源砂石,16726.5
滨江花园,2#楼,防水卷材,1134.0,平方米,32.0,2026-02-06,蓝盾防水,36288.0
滨江花园,2#楼,保温板,850.5,平方米,42.0,2026-02-06,北方保温,35721.0
滨江花园,2#楼,PVC管,567.0,米,18.5,2026-02-06,联塑管材,10489.5
滨江花园,2#楼,电缆,756.0,米,115.0,2026-02-06,远东电缆,86940.0
滨江花园,2#楼,瓷砖,661.5,平方米,86.0,2026-02-06,华美陶瓷,56889.0
滨江花园,2#楼,玻璃,472.5,平方米,138.0,2026-02-06,晶华玻璃,65205.0
滨江花园,3#楼,钢筋,14.44,吨,3980.0,2026-02-07,华北钢材,57471.2
滨江花园,3#楼,水泥,115.5,吨,450.0,2026-02-07,鑫达建材,51975.0
滨江花园,3#楼,混凝土,92.4,立方米,520.0,2026-02-07,宏达混凝土,48048.0
滨江花园,3#楼,砂石,173.25,吨,118.0,2026-02-07,恒源砂石,20443.5
滨江花园,3#楼,防水卷材,1386.0,平方米,32.0,2026-02-07,蓝盾防水,44352.0
滨江花园,3#楼,保温板,1039.5,平方米,42.0,2026-02-07,北方保温,43659.0
滨江花园,3#楼,PVC管,693.0,米,18.5,2026-02-07,联塑管材,12820.5
滨江花园,3#楼,电缆,924.0,米,115.0,2026-02-07,远东电缆,106260.0
滨江花园,3#楼,瓷砖,808.5,平方米,86.0,2026-02-07,华美陶瓷,69531.0
滨江花园,3#楼,玻璃,577.5,平方米,138.0,2026-02-07,晶华玻璃,79695.0
滨江花园,1#楼,钢筋,13.75,吨,3980.0,2026-03-05,华北钢材,54725.0
滨江花园,1#楼,水泥,110.0,吨,450.0,2026-03-05,鑫达建材,49500.0
滨江花园,1#楼,混凝土,88.0,立方米,520.0,2026-03-05,宏达混凝土,45760.0
滨江花园,1#楼,砂石,165.0,吨,118.0,2026-03-05,恒源砂石,19470.0
滨江花园,1#楼,防水卷材,1320.0,平方米,32.0,2026-03-05,蓝盾防水,42240.0
滨江花园,1#楼,保温板,990.0,平方米,42.0,2026-03-05,北方保温,41580.0
滨江花园,1#楼,PVC管,660.0,米,18.5,2026-03-05,联塑管材,12210.0
滨江花园,1#楼,电缆,880.0,米,115.0,2026-03-05,远东电缆,101200.0
滨江花园,1#楼,瓷砖,770.0,平方米,86.0,2026-03-05,华美陶瓷,66220.0
滨江花园,1#楼,玻璃,550.0,平方米,138.0,2026-03-05,晶华玻璃,75900.0
滨江花园,2#楼,钢筋,12.38,吨,3980.0,2026-03-06,华北钢材,49272.4
滨江花园,2#楼,水泥,99.0,吨,450.0,2026-03-06,鑫达建材,44550.0
滨江花园,2#楼,混凝土,79.2,立方米,520.0,2026-03-06,宏达混凝土,41184.0
滨江花园,2#楼,砂石,148.5,吨,118.0,2026-03-06,恒源砂石,17523.0
滨江花园,2#楼,防水卷材,1188.0,平方米,32.0,2026-03-06,蓝盾防水,38016.0
滨江花园,2#楼,保温板,891.0,平方米,42.0,2026-03-06,北方保温,37422.0
滨江花园,2#楼,PVC管,594.0,米,18.5,2026-03-06,联塑管材,10989.0
滨江花园,2#楼,电缆,792.0,米,115.0,2026-03-06,远东电缆,91080.0
滨江花园,2#楼,瓷砖,693.0,平方米,86.0,2026-03-06,华美陶瓷,59598.0
滨江花园,2#楼,玻璃,495.0,平方米,138.0,2026-03-06,晶华玻璃,68310.0
滨江花园,3#楼,钢筋,15.13,吨,3980.0,2026-03-07,华北钢材,60217.4
滨江花园,3#楼,水泥,121.0,吨,450.0,2026-03-07,鑫达建材,54450.0
滨江花园,3#楼,混凝土,96.8,立方米,520.0,2026-03-07,宏达混凝土,50336.0
滨江花园,3#楼,砂石,181.5,吨,118.0,2026-03-07,恒源砂石,21417.0
滨江花园,3#楼,防水卷材,1452.0,平方米,32.0,2026-03-07,蓝盾防水,46464.0
滨江花园,3#楼,保温板,1089.0,平方米,42.0,2026-03-07,北方保温,45738.0
滨江花园,3#楼,PVC管,726.0,米,18.5,2026-03-07,联塑管材,13431.0
滨江花园,3#楼,电缆,968.0,米,115.0,2026-03-07,远东电缆,111320.0
滨江花园,3#楼,瓷砖,847.0,平方米,86.0,2026-03-07,华美陶瓷,72842.0
滨江花园,3#楼,玻璃,605.0,平方米,138.0,2026-03-07,晶华玻璃,83490.0
滨江花园,1#楼,钢筋,14.37,吨,3980.0,2026-04-05,华北钢材,57192.6
滨江花园,1#楼,水泥,115.0,吨,450.0,2026-04-05,鑫达建材,51750.0
滨江花园,1#楼,混凝土,92.0,立方米,520.0,2026-04-05,宏达混凝土,47840.0
滨江花园,1#楼,砂石,172.5,吨,118.0,2026-04-05,恒源砂石,20355.0
滨江花园,1#楼,防水卷材,1380.0,平方米,32.0,2026-04-05,蓝盾防水,44160.0
滨江花园,1#楼,保温板,1035.0,平方米,42.0,2026-04-05,北方保温,43470.0
滨江花园,1#楼,PVC管,690.0,米,18.5,2026-04-05,联塑管材,12765.0
滨江花园,1#楼,电缆,920.0,米,115.0,2026-04-05,远东电缆,105800.0
滨江花园,1#楼,瓷砖,805.0,平方米,86.0,2026-04-05,华美陶瓷,69230.0
滨江花园,1#楼,玻璃,575.0,平方米,138.0,2026-04-05,晶华玻璃,79350.0
滨江花园,2#楼,钢筋,12.94,吨,3980.0,2026-04-06,华北钢材,51501.2
滨江花园,2#楼,水泥,103.5,吨,450.0,2026-04-06,鑫达建材,46575.0
滨江花园,2#楼,混凝土,82.8,立方米,520.0,2026-04-06,宏达混凝土,43056.0
滨江花园,2#楼,砂石,155.25,吨,118.0,2026-04-06,恒源砂石,18319.5
滨江花园,2#楼,防水卷材,1242.0,平方米,32.0,2026-04-06,蓝盾防水,39744.0
滨江花园,2#楼,保温板,931.5,平方米,42.0,2026-04-06,北方保温,39123.0
滨江花园,2#楼,PVC管,621.0,米,18.5,2026-04-06,联塑管材,11488.5
滨江花园,2#楼,电缆,828.0,米,115.0,2026-04-06,远东电缆,95220.0
滨江花园,2#楼,瓷砖,724.5,平方米,86.0,2026-04-06,华美陶瓷,62307.0
滨江花园,2#楼,玻璃,517.5,平方米,138.0,2026-04-06,晶华玻璃,71415.0
滨江花园,3#楼,钢筋,15.81,吨,3980.0,2026-04-07,华北钢材,62923.8
滨江花园,3#楼,水泥,126.5,吨,450.0,2026-04-07,鑫达建材,56925.0
滨江花园,3#楼,混凝土,101.2,立方米,520.0,2026-04-07,宏达混凝土,52624.0
滨江花园,3#楼,砂石,189.75,吨,118.0,2026-04-07,恒源砂石,22390.5
滨江花园,3#楼,防水卷材,1518.0,平方米,32.0,2026-04-07,蓝盾防水,48576.0
滨江花园,3#楼,保温板,1138.5,平方米,42.0,2026-04-07,北方保温,47817.0
滨江花园,3#楼,PVC管,759.0,米,18.5,2026-04-07,联塑管材,14041.5
滨江花园,3#楼,电缆,1012.0,米,115.0,2026-04-07,远东电缆,116380.0
滨江花园,3#楼,瓷砖,885.5,平方米,86.0,2026-04-07,华美陶瓷,76153.0
滨江花园,3#楼,玻璃,632.5,平方米,138.0,2026-04-07,晶华玻璃,87285.0
滨江花园,1#楼,钢筋,15.0,吨,3980.0,2026-05-05,华北钢材,59700.0
滨江花园,1#楼,水泥,120.0,吨,450.0,2026-05-05,鑫达建材,54000.0
滨江花园,1#楼,混凝土,96.0,立方米,520.0,2026-05-05,宏达混凝土,49920.0
滨江花园,1#楼,砂石,180.0,吨,118.0,2026-05-05,恒源砂石,21240.0
滨江花园,1#楼,防水卷材,1440.0,平方米,32.0,2026-05-05,蓝盾防水,46080.0
滨江花园,1#楼,保温板,1080.0,平方米,42.0,2026-05-05,北方保温,45360.0
滨江花园,1#楼,PVC管,720.0,米,18.5,2026-05-05,联塑管材,13320.0
滨江花园,1#楼,电缆,960.0,米,115.0,2026-05-05,远东电缆,110400.0
滨江花园,1#楼,瓷砖,840.0,平方米,86.0,2026-05-05,华美陶瓷,72240.0
滨江花园,1#楼,玻璃,600.0,平方米,138.0,2026-05-05,晶华玻璃,82800.0
滨江花园,2#楼,钢筋,13.5,吨,3980.0,2026-05-06,华北钢材,53730.0
滨江花园,2#楼,水泥,108.0,吨,450.0,2026-05-06,鑫达建材,48600.0
滨江花园,2#楼,混凝土,86.4,立方米,520.0,2026-05-06,宏达混凝土,44928.0
滨江花园,2#楼,砂石,162.0,吨,118.0,2026-05-06,恒源砂石,19116.0
滨江花园,2#楼,防水卷材,1296.0,平方米,32.0,2026-05-06,蓝盾防水,41472.0
滨江花园,2#楼,保温板,972.0,平方米,42.0,2026-05-06,北方保温,40824.0
滨江花园,2#楼,PVC管,648.0,米,18.5,2026-05-06,联塑管材,11988.0
滨江花园,2#楼,电缆,864.0,米,115.0,2026-05-06,远东电缆,99360.0
滨江花园,2#楼,瓷砖,756.0,平方米,86.0,2026-05-06,华美陶瓷,65016.0
滨江花园,2#楼,玻璃,540.0,平方米,138.0,2026-05-06,晶华玻璃,74520.0
滨江花园,3#楼,钢筋,16.5,吨,3980.0,2026-05-07,华北钢材,65670.0
滨江花园,3#楼,水泥,132.0,吨,450.0,2026-05-07,鑫达建材,59400.0
滨江花园,3#楼,混凝土,105.6,立方米,520.0,2026-05-07,宏达混凝土,54912.0
滨江花园,3#楼,砂石,198.0,吨,118.0,2026-05-07,恒源砂石,23364.0
滨江花园,3#楼,防水卷材,1584.0,平方米,32.0,2026-05-07,蓝盾防水,50688.0
滨江花园,3#楼,保温板,1188.0,平方米,42.0,2026-05-07,北方保温,49896.0
滨江花园,3#楼,PVC管,792.0,米,18.5,2026-05-07,联塑管材,14652.0
滨江花园,3#楼,电缆,1056.0,米,115.0,2026-05-07,远东电缆,121440.0
滨江花园,3#楼,瓷砖,924.0,平方米,86.0,2026-05-07,华美陶瓷,79464.0
滨江花园,3#楼,玻璃,660.0,平方米,138.0,2026-05-07,晶华玻璃,91080.0
滨江花园,1#楼,钢筋,15.62,吨,3980.0,2026-06-05,华北钢材,62167.6
滨江花园,1#楼,水泥,125.0,吨,450.0,2026-06-05,鑫达建材,56250.0
滨江花园,1#楼,混凝土,100.0,立方米,520.0,2026-06-05,宏达混凝土,52000.0
滨江花园,1#楼,砂石,187.5,吨,118.0,2026-06-05,恒源砂石,22125.0
滨江花园,1#楼,防水卷材,1500.0,平方米,32.0,2026-06-05,蓝盾防水,48000.0
滨江花园,1#楼,保温板,1125.0,平方米,42.0,2026-06-05,北方保温,47250.0
滨江花园,1#楼,PVC管,750.0,米,18.5,2026-06-05,联塑管材,13875.0
滨江花园,1#楼,电缆,1000.0,米,115.0,2026-06-05,远东电缆,115000.0
滨江花园,1#楼,瓷砖,875.0,平方米,86.0,2026-06-05,华美陶瓷,75250.0
滨江花园,1#楼,玻璃,625.0,平方米,138.0,2026-06-05,晶华玻璃,86250.0
滨江花园,2#楼,钢筋,14.06,吨,3980.0,2026-06-06,华北钢材,55958.8
滨江花园,2#楼,水泥,112.5,吨,450.0,2026-06-06,鑫达建材,50625.0
滨江花园,2#楼,混凝土,90.0,立方米,520.0,2026-06-06,宏达混凝土,46800.0
滨江花园,2#楼,砂石,168.75,吨,118.0,2026-06-06,恒源砂石,19912.5
滨江花园,2#楼,防水卷材,1350.0,平方米,32.0,2026-06-06,蓝盾防水,43200.0
滨江花园,2#楼,保温板,1012.5,平方米,42.0,2026-06-06,北方保温,42525.0
滨江花园,2#楼,PVC管,675.0,米,18.5,2026-06-06,联塑管材,12487.5
滨江花园,2#楼,电缆,900.0,米,115.0,2026-06-06,远东电缆,103500.0
滨江花园,2#楼,瓷砖,787.5,平方米,86.0,2026-06-06,华美陶瓷,67725.0
滨江花园,2#楼,玻璃,562.5,平方米,138.0,2026-06-06,晶华玻璃,77625.0
滨江花园,3#楼,钢筋,17.19,吨,3980.0,2026-06-07,华北钢材,68416.2
滨江花园,3#楼,水泥,137.5,吨,450.0,2026-06-07,鑫达建材,61875.0
滨江花园,3#楼,混凝土,110.0,立方米,520.0,2026-06-07,宏达混凝土,57200.0
滨江花园,3#楼,砂石,206.25,吨,118.0,2026-06-07,恒源砂石,24337.5
滨江花园,3#楼,防水卷材,1650.0,平方米,32.0,2026-06-07,蓝盾防水,52800.0
滨江花园,3#楼,保温板,1237.5,平方米,42.0,2026-06-07,北方保温,51975.0
滨江花园,3#楼,PVC管,825.0,米,18.5,2026-06-07,联塑管材,15262.5
滨江花园,3#楼,电缆,1100.0,米,115.0,2026-06-07,远东电缆,126500.0
滨江花园,3#楼,瓷砖,962.5,平方米,86.0,2026-06-07,华美陶瓷,82775.0
滨江花园,3#楼,玻璃,687.5,平方米,138.0,2026-06-07,晶华玻璃,94875.0
